,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
86,"Garden District,Ryerson",43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
87,"Garden District,Ryerson",43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
88,"Garden District,Ryerson",43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
89,"Garden District,Ryerson",43.6571618,-79.37893709999999,Hokkaido Ramen Santouka ???????,43.65643520293576,-79.37758637997793,Ramen Restaurant
90,"Garden District,Ryerson",43.6571618,-79.37893709999999,Five Guys,43.65710635305761,-79.38130606340378,Burger Joint
91,"Garden District,Ryerson",43.6571618,-79.37893709999999,Samsung Experience Store (Eaton Centre),43.65564777812532,-79.3810108074576,Electronics Store
92,"Garden District,Ryerson",43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
93,"Garden District,Ryerson",43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455335,-79.37919882575557,Diner
94,"Garden District,Ryerson",43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Coffee Shop
95,"Garden District,Ryerson",43.6571618,-79.37893709999999,Cineplex Cinemas,43.65612555948613,-79.38039005666784,Movie Theater
96,"Garden District,Ryerson",43.6571618,-79.37893709999999,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
97,"Garden District,Ryerson",43.6571618,-79.37893709999999,Ryerson Image Centre,43.65752337161094,-79.37945958709186,Art Gallery
98,"Garden District,Ryerson",43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
99,"Garden District,Ryerson",43.6571618,-79.37893709999999,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
100,"Garden District,Ryerson",43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
101,"Garden District,Ryerson",43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
102,"Garden District,Ryerson",43.6571618,-79.37893709999999,CF Toronto Eaton Centre,43.654540112988535,-79.38067738352993,Shopping Mall
103,"Garden District,Ryerson",43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Clothing Store
104,"Garden District,Ryerson",43.6571618,-79.37893709999999,JOEY Eaton Centre,43.65540379999999,-79.38192889999999,Restaurant
105,"Garden District,Ryerson",43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.65686,-79.38091,Mexican Restaurant
106,"Garden District,Ryerson",43.6571618,-79.37893709999999,JOEY,43.6560936540828,-79.38187792357716,American Restaurant
107,"Garden District,Ryerson",43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632361,-79.37889120754515,Japanese Restaurant
108,"Garden District,Ryerson",43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Bakery
109,"Garden District,Ryerson",43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College Rec Center
110,"Garden District,Ryerson",43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
111,"Garden District,Ryerson",43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
112,"Garden District,Ryerson",43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672277,-79.37919981155157,Coffee Shop
113,"Garden District,Ryerson",43.6571618,-79.37893709999999,BMV Books,43.657047061091596,-79.38166061431659,Bookstore
114,"Garden District,Ryerson",43.6571618,-79.37893709999999,The 3 Brewers,43.655474284721,-79.38041324445061,Beer Bar
115,"Garden District,Ryerson",43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
116,"Garden District,Ryerson",43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
117,"Garden District,Ryerson",43.6571618,-79.37893709999999,Elmwood Spa,43.6577592341367,-79.38258620521141,Spa
118,"Garden District,Ryerson",43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
119,"Garden District,Ryerson",43.6571618,-79.37893709999999,Spring Sushi,43.656252529816086,-79.38065954471074,Sushi Restaurant
120,"Garden District,Ryerson",43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Cosmetics Shop
121,"Garden District,Ryerson",43.6571618,-79.37893709999999,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon
122,"Garden District,Ryerson",43.6571618,-79.37893709999999,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
123,"Garden District,Ryerson",43.6571618,-79.37893709999999,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Middle Eastern Restaurant
124,"Garden District,Ryerson",43.6571618,-79.37893709999999,Kinton Ramen,43.660631695006714,-79.37887964897601,Ramen Restaurant
125,"Garden District,Ryerson",43.6571618,-79.37893709999999,MUJI,43.656024,-79.383284,Miscellaneous Shop
126,"Garden District,Ryerson",43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
127,"Garden District,Ryerson",43.6571618,-79.37893709999999,Jack Astor's Bar & Grill,43.65601939992059,-79.38032551379719,Restaurant
128,"Garden District,Ryerson",43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Bookstore
129,"Garden District,Ryerson",43.6571618,-79.37893709999999,SEPHORA,43.653688,-79.38012,Cosmetics Shop
130,"Garden District,Ryerson",43.6571618,-79.37893709999999,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant
131,"Garden District,Ryerson",43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
132,"Garden District,Ryerson",43.6571618,-79.37893709999999,Red Lobster,43.656328,-79.383621,Seafood Restaurant
133,"Garden District,Ryerson",43.6571618,-79.37893709999999,Tim Hortons,43.656755,-79.380512,Coffee Shop
134,"Garden District,Ryerson",43.6571618,-79.37893709999999,Apple Eaton Centre,43.6540644,-79.3806966,Electronics Store
135,"Garden District,Ryerson",43.6571618,-79.37893709999999,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
136,"Garden District,Ryerson",43.6571618,-79.37893709999999,Kabul Express,43.65669146835466,-79.37664313658586,Middle Eastern Restaurant
137,"Garden District,Ryerson",43.6571618,-79.37893709999999,Hollister Co.,43.654479660102204,-79.38091371769396,Clothing Store
138,"Garden District,Ryerson",43.6571618,-79.37893709999999,Magic Tailor,43.65374158228865,-79.37974523881418,Clothing Store
139,"Garden District,Ryerson",43.6571618,-79.37893709999999,Lake Devo,43.6569936860937,-79.37689788366988,Lake
140,"Garden District,Ryerson",43.6571618,-79.37893709999999,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Middle Eastern Restaurant
141,"Garden District,Ryerson",43.6571618,-79.37893709999999,Bourbon St. Grill,43.6551351410162,-79.3808225262395,Fast Food Restaurant
142,"Garden District,Ryerson",43.6571618,-79.37893709999999,Marshalls,43.659308,-79.3824621,Department Store
143,"Garden District,Ryerson",43.6571618,-79.37893709999999,Roots,43.65361341708363,-79.38024401664734,Clothing Store
144,"Garden District,Ryerson",43.6571618,-79.37893709999999,HomeSense,43.6530533,-79.3794496,Furniture / Home Store
145,"Garden District,Ryerson",43.6571618,-79.37893709999999,Tangerine Café,43.653936903308185,-79.37972202364307,Bank
146,"Garden District,Ryerson",43.6571618,-79.37893709999999,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
147,"Garden District,Ryerson",43.6571618,-79.37893709999999,EB Games,43.65529344166874,-79.38032812642462,Video Game Store
148,"Garden District,Ryerson",43.6571618,-79.37893709999999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Lounge
149,"Garden District,Ryerson",43.6571618,-79.37893709999999,Imperial Pub,43.656254269765554,-79.37895528846455,Pub
150,"Garden District,Ryerson",43.6571618,-79.37893709999999,Hot Topic,43.65596871424237,-79.38050663269382,Clothing Store
151,"Garden District,Ryerson",43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558368,Pizza Place
152,"Garden District,Ryerson",43.6571618,-79.37893709999999,Coco Fresh Tea & Juice,43.65865989038909,-79.38204032226336,Bubble Tea Shop
153,"Garden District,Ryerson",43.6571618,-79.37893709999999,Disney Store,43.654248,-79.381232,Toy / Game Store
154,"Garden District,Ryerson",43.6571618,-79.37893709999999,Chatime ????,43.65554164147378,-79.38468427043244,Bubble Tea Shop
155,"Garden District,Ryerson",43.6571618,-79.37893709999999,KAKA,43.65745745164475,-79.38419169987876,Japanese Restaurant
156,"Garden District,Ryerson",43.6571618,-79.37893709999999,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.65606287245643,-79.38369472446465,Dessert Shop
157,"Garden District,Ryerson",43.6571618,-79.37893709999999,MAC,43.65405547492733,-79.38071368220903,Cosmetics Shop
158,"Garden District,Ryerson",43.6571618,-79.37893709999999,Vans,43.654825509733335,-79.38024076741966,Shoe Store
159,"Garden District,Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
160,"Garden District,Ryerson",43.6571618,-79.37893709999999,Ethiopiques,43.65651274304155,-79.377077748846,Ethiopian Restaurant
161,"Garden District,Ryerson",43.6571618,-79.37893709999999,Fran's,43.65426474929814,-79.37912005538317,Diner
162,"Garden District,Ryerson",43.6571618,-79.37893709999999,Bubble Republic Tea House ????,43.656707495984975,-79.38416470657434,Bubble Tea Shop
163,"Garden District,Ryerson",43.6571618,-79.37893709999999,Starbucks,43.659509,-79.382132,Coffee Shop
164,"Garden District,Ryerson",43.6571618,-79.37893709999999,Victoria's Secret,43.65320588119187,-79.38052200729167,Lingerie Store
165,"Garden District,Ryerson",43.6571618,-79.37893709999999,Victoria's Secret PINK,43.65335746417248,-79.3806734813237,Lingerie Store
166,"Garden District,Ryerson",43.6571618,-79.37893709999999,Reds Midtown Tavern,43.659128249470015,-79.38226565563255,Wine Bar
167,"Garden District,Ryerson",43.6571618,-79.37893709999999,Ryerson Square,43.656988428886045,-79.37689617296417,Other Great Outdoors
168,"Garden District,Ryerson",43.6571618,-79.37893709999999,Bangkok Garden,43.6578702903203,-79.38283718957292,Thai Restaurant
169,"Garden District,Ryerson",43.6571618,-79.37893709999999,Bell Trinity Square,43.65347479872822,-79.38246987630343,Office
170,"Garden District,Ryerson",43.6571618,-79.37893709999999,Smoke's Poutinerie,43.65737935238092,-79.37345459540276,Poutine Place
171,"Garden District,Ryerson",43.6571618,-79.37893709999999,GoodLife Fitness Toronto Bell Trinity Centre,43.653436,-79.382314,Gym
172,"Garden District,Ryerson",43.6571618,-79.37893709999999,Katsuya,43.65986035759321,-79.37878806223506,Japanese Restaurant
173,"Garden District,Ryerson",43.6571618,-79.37893709999999,lululemon athletica,43.653394,-79.380722,Clothing Store
174,"Garden District,Ryerson",43.6571618,-79.37893709999999,Abercrombie & Fitch,43.65291548392747,-79.38049525090148,Clothing Store
175,"Garden District,Ryerson",43.6571618,-79.37893709999999,Hard Candy Fitness,43.659556180497816,-79.38244024080487,Gym / Fitness Center
176,"Garden District,Ryerson",43.6571618,-79.37893709999999,Urban Outfitters,43.65441107845698,-79.38005491917738,Clothing Store
177,"Garden District,Ryerson",43.6571618,-79.37893709999999,Fine Asian Bowl,43.6553866,-79.3803264,Vietnamese Restaurant
178,"Garden District,Ryerson",43.6571618,-79.37893709999999,Good Earth Coffeehouse,43.65685033174256,-79.37471866607666,Coffee Shop
179,"Garden District,Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65907956058055,-79.38056191501433,Coffee Shop
180,St. James Town,43.6514939,-79.3754179,Gyu-Kaku Japanese BBQ,43.651422275497914,-79.37504693687086,Japanese Restaurant
181,St. James Town,43.6514939,-79.3754179,Terroni,43.650927,-79.375602,Italian Restaurant
182,St. James Town,43.6514939,-79.3754179,GoodLife Fitness Toronto 137 Yonge Street,43.651242,-79.378068,Gym
183,St. James Town,43.6514939,-79.3754179,GEORGE Restaurant,43.65334645635036,-79.3744449051126,Restaurant
184,St. James Town,43.6514939,-79.3754179,Fahrenheit Coffee,43.65238358726612,-79.37271903848271,Coffee Shop
185,St. James Town,43.6514939,-79.3754179,Aveda Institute Toronto,43.65009640955562,-79.37362952211767,Cosmetics Shop
186,St. James Town,43.6514939,-79.3754179,Triple A Bar (AAA),43.65165840099557,-79.3727201723461,BBQ Joint
187,St. James Town,43.6514939,-79.3754179,Mystic Muffin,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant
188,St. James Town,43.6514939,-79.3754179,Pearl Diver,43.651481290733734,-79.37359954211877,Gastropub
189,St. James Town,43.6514939,-79.3754179,Hogtown Smoke,43.64928693557788,-79.37468932637938,Food Truck
190,St. James Town,43.6514939,-79.3754179,Crepe TO,43.650063279511016,-79.37458664523871,Creperie
191,St. James Town,43.6514939,-79.3754179,Versus Coffee,43.65121343781903,-79.37523564828548,Coffee Shop
192,St. James Town,43.6514939,-79.3754179,NAMI,43.650853361785124,-79.37588746641697,Japanese Restaurant
193,St. James Town,43.6514939,-79.3754179,Cambridge Suites Toronto,43.65183649475983,-79.37810738045548,Hotel
194,St. James Town,43.6514939,-79.3754179,Beerbistro,43.64941904378835,-79.37723726034164,Gastropub
195,St. James Town,43.6514939,-79.3754179,St James Anglican Cathedral,43.650109744784004,-79.37429172248066,Church
196,St. James Town,43.6514939,-79.3754179,Dineen Coffee,43.650497,-79.378765,Café
197,St. James Town,43.6514939,-79.3754179,Richmond Station,43.65156872562108,-79.37926594000328,American Restaurant
198,St. James Town,43.6514939,-79.3754179,The Carbon Bar,43.65336708689279,-79.37496515174824,Restaurant
199,St. James Town,43.6514939,-79.3754179,The Poké Box,43.65046931503178,-79.37631703952829,Poke Place
200,St. James Town,43.6514939,-79.3754179,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
201,St. James Town,43.6514939,-79.3754179,The Omni King Edward Hotel,43.64919051601911,-79.37600612640387,Hotel
202,St. James Town,43.6514939,-79.3754179,Carisma,43.64961671774303,-79.3754337751762,Italian Restaurant
203,St. James Town,43.6514939,-79.3754179,Vintage Conservatory,43.6522291429876,-79.37348666333094,Speakeasy
204,St. James Town,43.6514939,-79.3754179,Sam James Coffee Bar (SJCB),43.65031871629752,-79.37621650642859,Coffee Shop
205,St. James Town,43.6514939,-79.3754179,HI-Toronto Hostel,43.650623213878255,-79.37519039641123,Hostel
206,St. James Town,43.6514939,-79.3754179,Craft Beer Market,43.6498722789121,-79.37839828995996,Beer Bar
207,St. James Town,43.6514939,-79.3754179,The George Street Diner,43.65297,-79.371467,Diner
208,St. James Town,43.6514939,-79.3754179,The Poet Cafe,43.65063683072023,-79.37127573699792,Café
209,St. James Town,43.6514939,-79.3754179,The Chase,43.650951982093595,-79.37942201983014,New American Restaurant
210,St. James Town,43.6514939,-79.3754179,Sukhothai,43.64848710249909,-79.37454735245633,Thai Restaurant
211,St. James Town,43.6514939,-79.3754179,La Bettola Di Terroni,43.65199330592565,-79.37805579614488,Italian Restaurant
212,St. James Town,43.6514939,-79.3754179,St. Lawrence Market Plaza,43.64916860422451,-79.37232987433548,Art Gallery
213,St. James Town,43.6514939,-79.3754179,Sud Forno,43.65093965733832,-79.37904545824371,Bakery
214,St. James Town,43.6514939,-79.3754179,deKEFIR,43.65043319523819,-79.37939324949957,Ice Cream Shop
215,St. James Town,43.6514939,-79.3754179,Leña,43.651722,-79.379205,Latin American Restaurant
216,St. James Town,43.6514939,-79.3754179,Pravda Vodka Bar,43.64851553067474,-79.37473231149953,Cocktail Bar
217,St. James Town,43.6514939,-79.3754179,St. Lawrence Market (North Building),43.64879290161719,-79.37194535820687,Farmers Market
218,St. James Town,43.6514939,-79.3754179,The Joint - Hogtown Smoke,43.649149979382656,-79.3746782955818,BBQ Joint
219,St. James Town,43.6514939,-79.3754179,Berczy Park,43.64804835388851,-79.3751722909452,Park
220,St. James Town,43.6514939,-79.3754179,St. James Park,43.6504248002309,-79.3723109702051,Park
221,St. James Town,43.6514939,-79.3754179,St. Lawrence Market (South Building),43.64874320223593,-79.37159697627527,Farmers Market
222,St. James Town,43.6514939,-79.3754179,Starbucks,43.650159,-79.377793,Coffee Shop
223,St. James Town,43.6514939,-79.3754179,D.W. Alexander,43.64833304339161,-79.3738261420116,Cocktail Bar
224,St. James Town,43.6514939,-79.3754179,Fresh On Front,43.64781466405137,-79.3744527618627,Vegetarian / Vegan Restaurant
225,St. James Town,43.6514939,-79.3754179,Downtown Camera,43.653107,-79.37512,Camera Store
226,St. James Town,43.6514939,-79.3754179,Victoria's Restaurant,43.64929834396347,-79.37643067251867,Restaurant
